weightclass,Weight In Kg,Average Submissions Attempted Per 15 Minutes,Average Takedowns Landed Per 15 Minutes,Date Of Birth,Draws,Height Cm,Losses,Name,Nickname,Reach In Cm,Significant Strike Defence,Significant Strikes Absorbed Per Minute,Significant Strikes Landed Per Minute,Significant Striking Accuracy,Stance,Takedown Accuracy,Takedown Defense,Wins
Light Heavyweight (84.0–93.0 kg),83.91,0.8,0.5,4/14/1975,0,187.96,11,Anderson Silva,"""The Spider""",195.58,60,2.05,3.05,61,Southpaw,77,69,34
Middleweight (77.2–83.9 kg),77.11,0.8,2.05,7/9/1987,0,182.88,5,Carlston Harris,"""Mocambique""",193.04,53,2.44,2.93,49,Orthodox,29,55,19
Middleweight (77.2–83.9 kg),77.11,0.8,0.58,10/9/1980,0,185.42,12,Jorge Santiago,"""The Sandman""",190.5,56,2.62,1.69,35,Orthodox,30,52,25
Welterweight (70.4–77.1 kg),70.31,0.8,4.08,10/7/1983,0,177.8,14,Gleison Tibau,,180.34,63,2.51,1.95,31,Southpaw,53,92,33
Welterweight (70.4–77.1 kg),70.31,0.8,0,11/15/1989,0,185.42,4,Josh Shockley,,,60,1.75,1.4,33,Orthodox,0,61,11
Light Heavyweight (84.0–93.0 kg),92.99,0.8,3.89,12/20/1964,0,185.42,10,Mark Coleman,"""The Hammer""",190.5,40,2.62,1.88,52,Orthodox,40,50,16
Flyweight (≤56.7 kg),56.7,0.8,1.11,5/27/1981,0,160.02,8,Chris Cariaso,"""Kamikaze""",162.56,61,2.23,3.35,43,Southpaw,39,57,17
Featherweight (61.3–65.8 kg),61.23,0.8,2.11,8/13/1986,0,170.18,8,Russell Doane,,177.8,53,1.68,1.75,40,Orthodox,45,52,15
Featherweight (61.3–65.8 kg),65.77,0.8,0.59,3/21/1984,0,170.18,7,Rony Jason,"""Jason""",185.42,53,3.14,2.04,44,Orthodox,30,36,14
Light Heavyweight (84.0–93.0 kg),83.91,0.8,2.24,11/24/1990,0,177.8,9,Maki Pitolo,"""Coconut Bombz""",190.5,55,3.93,4.1,44,Orthodox,52,50,13
Featherweight (61.3–65.8 kg),65.77,0.8,3.4,2/11/1995,1,172.72,3,Joanderson Brito,"""Tubarao""",182.88,47,2.62,3.32,51,Orthodox,75,50,16
Welterweight (70.4–77.1 kg),70.31,0.8,1.75,3/10/1990,1,180.34,9,Zhang Lipeng,"""The Warrior""",180.34,53,1.88,1.28,48,Southpaw,30,69,23
Welterweight (70.4–77.1 kg),70.31,0.8,0,6/16/2002,0,177.8,1,Francisco Prado,,175.26,46,3.83,3.46,50,Orthodox,0,25,12
Welterweight (70.4–77.1 kg),70.31,0.8,3.49,10/12/1984,1,172.72,11,Jamie Varner,,180.34,58,2.55,2.92,34,Orthodox,53,66,21
Middleweight (77.2–83.9 kg),77.11,0.8,0.89,10/26/1981,0,190.5,14,Seth Baczynski,"""Polish Pistola""",190.5,51,3.14,3.08,31,Orthodox,16,48,20
Featherweight (61.3–65.8 kg),65.77,0.8,5.29,5/1/1992,0,182.88,5,Jonathan Pearce,"""JSP""",180.34,55,3.35,5.6,56,Switch,53,56,14
Middleweight (77.2–83.9 kg),77.11,0.8,1.37,2/14/1984,0,177.8,5,Kenny Robertson,,187.96,52,3.02,3.72,47,Orthodox,26,57,15
Welterweight (70.4–77.1 kg),70.31,0.8,5.32,9/20/1988,0,177.8,0,Khabib Nurmagomedov,"""The Eagle""",177.8,65,1.75,4.1,48,Orthodox,48,84,29
Heavyweight (>=93.1 kg),112.94,0.8,0.4,1/17/1966,1,190.5,22,Gary Goodridge,,,48,2.14,1.84,56,Orthodox,100,53,23
Welterweight (70.4–77.1 kg),70.31,0.8,0,8/22/1983,0,182.88,10,Justin Buchholz,,185.42,51,4.14,2.35,26,Orthodox,0,33,15
Flyweight (≤56.7 kg),56.7,0.8,1.61,5/19/1990,0,170.18,7,Malcolm Gordon,"""X""",180.34,42,2.26,1.93,42,Switch,30,9,14
Middleweight (77.2–83.9 kg),77.11,0.8,1.59,,0,177.8,4,Mike Stumpf,,,47,8.85,3.34,43,,25,33,11
Featherweight (61.3–65.8 kg),61.23,0.8,1.97,7/31/1989,0,170.18,4,Aljamain Sterling,"""Funk Master""",180.34,58,2.41,4.73,52,Orthodox,24,45,23
Light Heavyweight (84.0–93.0 kg),92.99,0.8,2,8/10/1971,0,177.8,16,Kevin Randleman,"""The Monster""",,57,1.12,1.26,54,Orthodox,56,30,17
Light Heavyweight (84.0–93.0 kg),83.91,0.8,0.39,5/28/1976,0,187.96,9,Rory Singer,"""Outburst""",195.58,63,2.42,2.55,39,Orthodox,25,64,11
Light Heavyweight (84.0–93.0 kg),90.72,0.8,0,5/14/1974,0,180.34,5,Alex Andrade,,,53,2.6,0.2,36,Orthodox,0,25,10
Heavyweight (>=93.1 kg),119.75,0.8,0.82,9/14/1979,1,193.04,12,Antonio Silva,"""Bigfoot""",208.28,50,3.09,2.89,45,Orthodox,29,66,19
Light Heavyweight (84.0–93.0 kg),83.91,0.8,1.87,4/20/1979,2,182.88,19,Nate Marquardt,"""The Great""",187.96,55,2.32,2.71,49,Orthodox,51,70,35
Middleweight (77.2–83.9 kg),77.11,0.8,0.28,3/3/1980,0,177.8,7,Kevin Burns,"""The Fire""",187.96,52,4.3,2.74,38,Orthodox,50,47,12
Light Heavyweight (84.0–93.0 kg),92.99,0.8,1.55,7/2/1984,0,190.5,9,Vinny Magalhaes,"""Pezao""",190.5,68,3.97,2.14,24,Orthodox,44,66,14
Middleweight (77.2–83.9 kg),77.11,0.8,2.35,5/7/1972,0,175.26,9,Frank Trigg,"""Twinkle Toes""",180.34,56,1.9,2.79,46,Southpaw,47,75,21
Middleweight (77.2–83.9 kg),77.11,0.8,0,7/10/1985,0,180.34,6,Brock Jardine,"""The Machine""",,56,3.34,1.06,30,Orthodox,0,14,12
Featherweight (61.3–65.8 kg),61.23,0.8,1,12/20/2000,0,172.72,1,Cameron Saaiman,"""MSP""",170.18,55,3.24,5.28,46,Southpaw,36,44,9
Middleweight (77.2–83.9 kg),77.11,0.8,0.78,2/21/1995,0,195.58,1,Trey Waters,"""The Truth""",195.58,61,3.95,6.45,45,Orthodox,50,77,8
Welterweight (70.4–77.1 kg),70.31,0.8,1.65,10/17/1993,0,182.88,3,Sangwook Kim,,182.88,48,7.94,5.57,51,Orthodox,18,66,9
Welterweight (70.4–77.1 kg),70.31,0.8,1.31,1/15/1986,0,175.26,12,Efrain Escudero,"""Hecho en México""",180.34,63,2.3,2.92,44,Orthodox,40,66,28
Light Heavyweight (84.0–93.0 kg),92.99,0.8,1.4,2/22/1993,0,185.42,7,John Allan,,190.5,52,5.74,3.56,42,Orthodox,71,50,13
Middleweight (77.2–83.9 kg),79.38,0.8,0,12/12/1966,3,185.42,2,Royce Gracie,,,37,1.13,0.88,41,Southpaw,0,66,15
Middleweight (77.2–83.9 kg),77.11,0.8,0.41,2/9/1984,0,185.42,4,James Head,,185.42,49,3.11,2.75,48,Orthodox,100,66,9
Middleweight (77.2–83.9 kg),77.11,0.8,3.18,9/4/1992,0,175.26,8,Kevin Lee,"""The Motown Phenom""",195.58,50,3.6,3.88,42,Orthodox,43,75,18
Welterweight (70.4–77.1 kg),70.31,0.8,0.83,12/8/1981,7,172.72,14,Naoyuki Kotani,,167.64,50,2.89,1.02,31,Southpaw,16,46,34
Light Heavyweight (84.0–93.0 kg),83.91,0.8,1.49,7/4/1995,0,193.04,4,Joseph Holmes,"""Uglyman Joe""",203.2,54,3.08,2.88,53,Orthodox,40,50,8
Featherweight (61.3–65.8 kg),65.77,0.8,0.85,1/25/1988,0,170.18,2,Dashon Johnson,"""Flyboy""",,35,3.83,1.01,69,Orthodox,33,63,9
Featherweight (61.3–65.8 kg),61.23,0.8,1.2,1/5/1990,0,182.88,3,Domingo Pilarte,"""Son of Fire""",185.42,40,2.96,1.31,47,Southpaw,42,54,8
Welterweight (70.4–77.1 kg),70.31,0.8,1.23,9/22/1978,0,170.18,14,Takanori Gomi,"""The Fireball Kid""",177.8,60,3.52,3.81,41,Southpaw,65,63,35
Featherweight (61.3–65.8 kg),61.23,0.8,1.56,2/7/1986,0,167.64,5,TJ Dillashaw,,170.18,62,3.47,5.09,41,Orthodox,30,77,18
Middleweight (77.2–83.9 kg),77.11,0.8,3.18,1/13/1988,0,177.8,12,Derrick Krantz,"""D-Rock""",182.88,50,4.03,2.07,37,Orthodox,50,0,22
Welterweight (70.4–77.1 kg),70.31,0.8,6.86,11/13/1986,0,170.18,1,Gregor Gillespie,"""The Gift""",180.34,57,2.3,3.74,52,Orthodox,48,100,14
Light Heavyweight (84.0–93.0 kg),83.91,0.8,1.45,1/28/1981,0,182.88,13,Tim Boetsch,"""The Barbarian""",187.96,57,2.9,2.93,50,Orthodox,34,59,21
Light Heavyweight (84.0–93.0 kg),92.99,0.8,1.33,3/31/1980,1,193.04,14,Mike Kyle,"""MAK""",195.58,49,3.35,3.93,51,Orthodox,62,50,22
Featherweight (61.3–65.8 kg),61.23,0.8,0.85,10/22/1995,0,165.1,3,Kleydson Rodrigues,"""KR""",170.18,48,2.75,5.48,62,Orthodox,25,63,8
Flyweight (≤56.7 kg),56.7,0.8,0.55,8/1/1988,0,165.1,5,Jenel Lausa,"""The Demolition Man""",172.72,53,3.53,1.44,42,Orthodox,66,51,7
Featherweight (61.3–65.8 kg),65.77,0.8,5.22,3/1/1991,0,185.42,1,Zabit Magomedsharipov,,185.42,64,3,4.89,48,Orthodox,56,77,18
Middleweight (77.2–83.9 kg),77.11,0.8,3.6,2/24/1978,1,182.88,7,Jon Fitch,,187.96,54,1.65,2.61,50,Orthodox,51,56,30
Featherweight (61.3–65.8 kg),65.77,0.8,0,10/26/1988,0,170.18,2,Joey Gambino,"""The Raging Warrior""",,51,2.53,2.47,35,Orthodox,0,42,9
Featherweight (61.3–65.8 kg),61.23,0.8,1.87,9/9/1987,0,175.26,10,Kyung Ho Kang,"""Mr. Perfect""",185.42,55,3.33,3.35,48,Orthodox,57,68,19
Middleweight (77.2–83.9 kg),77.11,0.8,2.4,11/16/1983,0,175.26,7,Benson Henderson,"""Smooth""",177.8,63,1.79,2.93,45,Southpaw,45,63,24
Light Heavyweight (84.0–93.0 kg),83.91,0.8,3.6,6/17/1984,0,187.96,7,Chris Weidman,"""The All-American""",198.12,50,3.27,2.98,43,Orthodox,43,65,15
Featherweight (61.3–65.8 kg),61.23,0.8,2.57,8/4/1984,0,172.72,9,Bryan Caraway,"""Kid Lightning""",172.72,54,3.61,2.53,34,Orthodox,25,80,21
Featherweight (61.3–65.8 kg),61.23,0.8,1.97,11/26/1982,0,170.18,5,Reginaldo Vieira,,165.1,59,2.89,3.76,40,Orthodox,27,25,13
Light Heavyweight (84.0–93.0 kg),83.91,0.8,3.42,3/16/1990,0,187.96,5,Antonio Carlos Junior,"""Cara de Sapato""",200.66,52,2.14,1.95,42,Orthodox,39,53,11
Middleweight (77.2–83.9 kg),77.11,0.8,0,7/1/1990,0,187.96,9,Craig White,"""The Thundercat""",193.04,39,3.28,1.23,40,Orthodox,0,50,14
Featherweight (61.3–65.8 kg),61.23,0.8,1.54,5/14/1979,0,167.64,11,Urijah Faber,"""The California Kid""",170.18,64,2.59,2.65,40,Orthodox,30,58,35
Featherweight (61.3–65.8 kg),61.23,0.8,1.03,12/1/1986,0,167.64,7,Chad Anheliger,"""The Monster""",162.56,51,3.55,3.07,42,Orthodox,36,47,12
Middleweight (77.2–83.9 kg),77.11,0.8,1.51,12/31/1981,0,177.8,13,Diego Sanchez,"""Nightmare""",182.88,56,3.02,2.69,37,Southpaw,24,46,31
Light Heavyweight (84.0–93.0 kg),83.91,0.8,1.14,7/21/1980,0,180.34,11,Chris Leben,"""The Crippler""",185.42,52,2.87,2.87,42,Southpaw,41,53,22
Featherweight (61.3–65.8 kg),65.77,0.8,1.88,10/31/1981,2,172.72,8,Katsunori Kikuno,,167.64,61,2.47,2.64,40,Orthodox,75,76,24
Middleweight (77.2–83.9 kg),77.11,0.8,1.55,7/22/1996,0,182.88,8,Wellington Turman,"""The Prodigy""",182.88,45,4.17,3.23,51,Orthodox,20,42,18
Middleweight (77.2–83.9 kg),77.11,0.8,1.53,3/18/1980,1,185.42,10,Kyle Noke,,193.04,64,2.09,3.23,50,Southpaw,54,66,22
Heavyweight (>=93.1 kg),120.2,0.8,1.42,5/17/1980,0,193.04,19,Alistair Overeem,"""The Demolition Man""",203.2,57,2.44,3.67,64,Orthodox,55,73,47
Featherweight (61.3–65.8 kg),65.77,0.7,1,11/18/1986,2,170.18,2,John Teixeira,"""Macapa""",,63,3.2,3.36,35,Orthodox,27,71,21
Welterweight (70.4–77.1 kg),70.31,0.7,0.71,10/14/1985,0,180.34,4,Tony Sims,,177.8,65,0.76,1.81,63,Southpaw,50,50,12
Welterweight (70.4–77.1 kg),70.31,0.7,1.66,5/21/1989,1,180.34,5,Renato Moicano,,182.88,60,4.07,4.75,47,Orthodox,46,74,17
Welterweight (70.4–77.1 kg),70.31,0.7,0,10/15/1986,0,180.34,9,Khama Worthy,"""The Death Star""",187.96,46,4.45,4.18,48,Orthodox,0,57,16
Featherweight (61.3–65.8 kg),61.23,0.7,3.42,2/6/1995,0,172.72,1,Jack Shore,"""Tank""",180.34,57,2.2,3.84,58,Orthodox,40,79,17
Featherweight (61.3–65.8 kg),61.23,0.7,0.93,2/9/1988,1,172.72,10,Felipe Arantes,"""Sertanejo""",185.42,64,2.66,2.37,45,Orthodox,47,41,18
Welterweight (70.4–77.1 kg),70.31,0.7,0.45,2/5/1989,0,172.72,5,Joaquim Silva,"""Netto BJJ""",175.26,54,4.51,3.61,41,Southpaw,60,64,13
Middleweight (77.2–83.9 kg),77.11,0.7,1.37,3/13/1981,0,182.88,7,George Sullivan,"""The Silencer""",185.42,57,2.42,3.53,39,Orthodox,20,38,17
Middleweight (77.2–83.9 kg),77.11,0.7,2.37,5/23/1987,0,177.8,6,Ramazan Emeev,"""Gorets""",193.04,65,2.14,2.53,45,Southpaw,29,66,20
Featherweight (61.3–65.8 kg),65.77,0.7,0.73,10/6/1992,0,180.34,4,Yair Rodriguez,"""El Pantera""",180.34,51,4.07,4.63,46,Orthodox,28,59,16
Featherweight (61.3–65.8 kg),61.23,0.7,2.61,9/17/1982,0,165.1,12,Scott Jorgensen,"""Young Guns""",167.64,65,3.41,3.37,40,Orthodox,45,59,15
Heavyweight (>=93.1 kg),102.06,0.7,1.44,11/10/1966,1,180.34,7,Ian Freeman,"""The Machine""",,44,3.11,2.54,48,Orthodox,40,80,20
Welterweight (70.4–77.1 kg),70.31,0.7,1.33,4/23/1982,1,167.64,20,Diego Saraiva,"""The Octopus""",,62,3.58,1.64,32,Orthodox,40,0,22
Middleweight (77.2–83.9 kg),77.11,0.7,0,6/24/1991,0,187.96,5,Brian Camozzi,"""Mantis""",198.12,54,6.39,3.15,26,Orthodox,0,0,7
Featherweight (61.3–65.8 kg),65.77,0.7,2.79,8/1/1995,0,175.26,5,Ricardo Ramos,,182.88,57,3.78,3.21,37,Orthodox,59,72,16
Heavyweight (>=93.1 kg),120.2,0.7,0,7/15/1978,0,190.5,5,Matt Mitrione,,208.28,64,2.79,3.55,50,Switch,0,55,12
Welterweight (70.4–77.1 kg),70.31,0.7,0.96,2/18/1988,0,177.8,5,Joe Duffy,"""Irish""",185.42,54,3.78,2.68,34,Orthodox,66,64,16
Featherweight (61.3–65.8 kg),65.77,0.7,2.67,10/4/1978,2,182.88,8,Milton Vieira,"""Miltinho""",,48,2.36,1.13,35,Orthodox,53,12,13
Light Heavyweight (84.0–93.0 kg),83.91,0.7,1.31,10/5/1974,0,185.42,7,Rich Franklin,"""Ace""",193.04,62,2.07,4.1,44,Southpaw,66,63,29
Welterweight (70.4–77.1 kg),70.31,0.7,2.22,11/12/1990,1,182.88,3,Don Madge,"""Magic Man""",182.88,67,0.74,2.08,52,Southpaw,25,80,9
Flyweight (≤56.7 kg),56.7,0.7,3.35,8/10/1996,0,172.72,0,Rafael Estevam,"""Macapa""",175.26,34,3.35,2.94,64,Orthodox,19,0,12
Welterweight (70.4–77.1 kg),70.31,0.7,0.36,2/21/1994,0,170.18,4,Matt Sayles,,172.72,61,2.81,4.83,41,Orthodox,16,81,8
Light Heavyweight (84.0–93.0 kg),92.99,0.7,2.01,11/25/1981,1,185.42,14,Mauricio Rua,"""Shogun""",193.04,54,2.79,3.57,50,Orthodox,48,49,27
Featherweight (61.3–65.8 kg),65.77,0.7,1.42,5/29/1990,0,177.8,11,Steven Peterson,"""Ocho""",177.8,53,5.94,4.76,40,Orthodox,26,64,19
Flyweight (≤56.7 kg),56.7,0.7,1.71,10/27/1993,0,165.1,1,Amir Albazi,"""The Prince""",172.72,63,3.07,2.8,39,Orthodox,33,40,17
Welterweight (70.4–77.1 kg),70.31,0.7,0.66,12/28/1992,0,185.42,6,Niklas Stolze,"""Green Mask""",187.96,49,2.25,2.12,48,Switch,100,55,12
Flyweight (≤56.7 kg),56.7,0.7,1.42,10/15/1979,0,167.64,6,Darren Uyenoyama,"""BC""",165.1,66,2.21,1.34,39,Orthodox,33,35,10
Light Heavyweight (84.0–93.0 kg),83.91,0.7,1.42,7/27/1978,0,182.88,7,Drew McFedries,"""The Massacre""",182.88,52,4.56,5.13,51,Southpaw,100,56,12
Middleweight (77.2–83.9 kg),77.11,0.7,0.7,9/29/1989,0,182.88,7,Niko Price,"""The Hybrid""",193.04,48,5.6,5.46,42,Orthodox,20,64,15
Middleweight (77.2–83.9 kg),77.11,0.7,0.37,8/6/1974,0,187.96,12,Olaf Alfonso,,,53,4.77,1.65,38,Orthodox,7,22,8
Featherweight (61.3–65.8 kg),65.77,0.7,0.56,6/20/1988,0,177.8,14,Alex Caceres,"""Bruce Leeroy""",185.42,63,2.93,4.16,50,Southpaw,68,64,21
Light Heavyweight (84.0–93.0 kg),83.91,0.7,1.7,1/5/1981,0,190.5,10,Trevor Smith,"""Hot Sauce""",190.5,51,3.31,3.29,55,Orthodox,32,60,15
Heavyweight (>=93.1 kg),113.4,0.7,1.22,3/2/1978,0,193.04,16,Heath Herring,"""The Texas Crazy Horse""",198.12,54,1.77,2.37,50,Orthodox,50,32,28
Light Heavyweight (84.0–93.0 kg),83.91,0.7,2.4,11/15/1991,0,182.88,5,Dustin Stoltzfus,,190.5,48,3.29,3.49,44,Orthodox,40,46,15
Featherweight (61.3–65.8 kg),65.77,0.7,3.29,3/3/1999,0,175.26,2,Francis Marshall,"""Fire""",182.88,53,4.07,3.66,33,Orthodox,50,0,7
Featherweight (61.3–65.8 kg),65.77,0.7,0.99,2/3/1984,1,175.26,8,Phillipe Nover,"""The Filipino Assassin""",182.88,56,2.48,1.79,35,Orthodox,28,44,11
Welterweight (70.4–77.1 kg),70.31,0.7,3.39,11/24/1987,0,175.26,4,Chris Heatherly,"""Stump""",,52,2.67,1.08,45,Orthodox,50,100,9
Heavyweight (>=93.1 kg),111.58,0.7,1.2,11/26/1992,0,187.96,1,Rodrigo Nascimento,"""Ze' Colmeia""",203.2,43,4.76,4.31,48,Orthodox,33,77,11
Middleweight (77.2–83.9 kg),77.11,0.7,1.36,7/11/1985,0,187.96,5,Brandon Thatch,"""Rukus""",187.96,52,3.63,2.7,42,Switch,66,50,11
Featherweight (61.3–65.8 kg),65.77,0.7,1.06,6/13/1997,0,182.88,2,William Gomis,"""Jaguar""",185.42,75,1.49,2.62,46,Southpaw,60,81,13
Heavyweight (>=93.1 kg),115.67,0.7,4.66,9/11/1976,0,185.42,3,Mike Russow,,185.42,59,2.9,1.55,47,Orthodox,43,0,15
Light Heavyweight (84.0–93.0 kg),83.91,0.7,0,10/17/1982,0,187.96,3,Buddy Roberts,,,70,2.08,2.17,34,Orthodox,0,76,12
Featherweight (61.3–65.8 kg),61.23,0.7,2.93,6/16/1996,0,172.72,3,Drako Rodriguez,,175.26,58,4.4,3.37,36,Orthodox,66,75,7
Heavyweight (>=93.1 kg),99.79,0.7,5.07,8/29/1983,0,200.66,4,Vinicius Queiroz,"""Spartan""",,41,4.1,3.67,51,Orthodox,70,100,8
Light Heavyweight (84.0–93.0 kg),92.99,0.7,1.05,3/16/1979,0,190.5,7,Forrest Griffin,,195.58,61,2.81,4.38,36,Orthodox,48,57,19
Heavyweight (>=93.1 kg),99.34,0.7,0.91,11/23/1965,1,185.42,9,Don Frye,"""The Predator""",,37,3.57,2.87,64,Orthodox,57,45,20
Featherweight (61.3–65.8 kg),65.77,0.7,2.43,6/24/1981,0,175.26,6,Junior Assuncao,,182.88,44,2.06,3.31,62,Orthodox,24,66,16
Featherweight (61.3–65.8 kg),61.23,0.7,0.98,7/2/1983,1,170.18,7,Reuben Duran,,180.34,50,2.61,3.19,49,Orthodox,23,25,11
Welterweight (70.4–77.1 kg),70.31,0.7,2.91,5/9/1979,1,175.26,7,Gray Maynard,,177.8,66,2.64,1.92,32,Orthodox,47,81,13
Welterweight (70.4–77.1 kg),70.31,0.7,0.26,2/23/1987,0,190.5,5,James Vick,"""The Texecutioner""",193.04,60,3.31,4.13,39,Orthodox,33,57,13
Featherweight (61.3–65.8 kg),61.23,0.7,1.79,8/19/1986,0,167.64,14,Brian Kelleher,"""Boom""",167.64,54,4.61,3.36,41,Switch,42,60,24
Welterweight (70.4–77.1 kg),70.31,0.7,0.71,1/18/1985,0,175.26,5,Diego Ferreira,,187.96,56,3.42,4.66,37,Orthodox,22,63,18
Light Heavyweight (84.0–93.0 kg),83.91,0.7,0.44,5/20/1988,0,190.5,4,Scott Askham,,190.5,52,3.52,3.03,46,Southpaw,18,65,14
Light Heavyweight (84.0–93.0 kg),83.91,0.7,1.18,10/31/1975,2,187.96,11,Keith Jardine,"""The Dean of Mean""",193.04,59,2.98,3.25,36,Orthodox,45,62,17
Welterweight (70.4–77.1 kg),70.31,0.7,2.53,11/10/1988,0,175.26,3,David Michaud,"""BullDawg""",,54,4.45,3.25,43,Orthodox,58,77,11
Light Heavyweight (84.0–93.0 kg),83.91,0.7,1.95,5/12/1973,0,180.34,6,Travis Lutter,"""The Serial Killer""",190.5,42,2.42,0.41,32,Orthodox,24,30,10
Light Heavyweight (84.0–93.0 kg),92.99,0.7,0.52,7/26/1988,0,193.04,18,Anthony Smith,"""Lionheart""",193.04,46,4.45,3.16,48,Orthodox,28,48,37
Welterweight (70.4–77.1 kg),70.31,0.7,0,6/21/1981,0,177.8,2,John Polakowski,"""Buckets of Blood""",,50,2.83,2.6,26,Orthodox,0,87,2
Middleweight (77.2–83.9 kg),77.11,0.7,1.04,11/27/1991,1,180.34,9,Vicente Luque,"""The Silent Assassin""",190.5,52,5.15,5.17,52,Orthodox,60,62,22
Welterweight (70.4–77.1 kg),70.31,0.7,0,2/15/1973,1,167.64,4,David Baron,,,56,2.1,1.17,30,Switch,0,14,17
Middleweight (77.2–83.9 kg),77.11,0.7,1.18,6/28/1982,0,185.42,15,DaMarques Johnson,"""Darkness""",190.5,51,3.75,2.11,37,Orthodox,55,19,15
Welterweight (70.4–77.1 kg),70.31,0.7,0.35,7/28/1987,0,177.8,4,Darrell Horcher,"""The Saint""",177.8,39,4.21,2.05,44,Southpaw,50,47,13
Featherweight (61.3–65.8 kg),65.77,0.7,1.15,4/20/1991,1,180.34,5,Kyle Nelson,"""The Monster""",180.34,52,4.56,3.46,44,Switch,20,73,15
Welterweight (70.4–77.1 kg),70.31,0.7,0.68,12/25/1984,0,177.8,12,Damien Brown,"""Beatdown""",172.72,50,4.86,3.66,38,Orthodox,27,53,17
Light Heavyweight (84.0–93.0 kg),83.91,0.7,2.58,9/1/1979,0,180.34,6,Tim Kennedy,,187.96,62,1.84,2.78,47,Orthodox,35,70,18
Featherweight (61.3–65.8 kg),61.23,0.7,1.74,6/27/1989,1,165.1,6,Gustavo Lopez,,170.18,57,3.87,2.48,40,Orthodox,41,31,12
Welterweight (70.4–77.1 kg),70.31,0.7,0.76,9/30/1976,1,175.26,22,Yves Edwards,,185.42,66,2.34,2.91,42,Southpaw,53,69,42
Middleweight (77.2–83.9 kg),77.11,0.7,0.93,5/25/1977,1,177.8,13,Brad Blackburn,"""Bad""",185.42,65,3.59,4.55,35,Orthodox,50,76,18
Welterweight (70.4–77.1 kg),70.31,0.7,0.33,9/7/1987,0,177.8,8,Yancy Medeiros,,190.5,47,5.67,4.36,37,Orthodox,50,73,15
Light Heavyweight (84.0–93.0 kg),83.91,0.7,1.02,8/5/1988,0,180.34,5,Ian Heinisch,"""The Hurricane""",182.88,59,2.98,3.25,50,Orthodox,17,59,14
Light Heavyweight (84.0–93.0 kg),83.91,0.7,0.65,12/8/1986,0,187.96,6,Steve Cantwell,"""Robot""",190.5,55,5.76,3.63,34,Orthodox,30,80,7
Heavyweight (>=93.1 kg),112.04,0.7,1.06,1/18/1971,1,175.26,26,Jeff Monson,"""The Snowman""",187.96,59,2.87,0.97,30,Orthodox,12,66,60
Light Heavyweight (84.0–93.0 kg),92.99,0.7,0.67,5/29/1986,0,190.5,4,Guto Inocente,,,54,2.92,4.13,66,Orthodox,33,66,7
Welterweight (70.4–77.1 kg),70.31,0.7,1.99,10/3/1983,1,177.8,4,Leo Kuntz,"""The Lion""",,45,3.8,1.68,32,Orthodox,25,33,18
Welterweight (70.4–77.1 kg),70.31,0.6,0,3/1/1988,0,182.88,4,Devin Powell,,185.42,51,3.67,2.88,41,Orthodox,0,0,9
Welterweight (70.4–77.1 kg),70.31,0.6,3.89,7/17/1982,0,175.26,7,Marcus LeVesseur,"""The Prospect""",177.8,37,3.7,2.55,64,Southpaw,36,83,22
Light Heavyweight (84.0–93.0 kg),83.91,0.6,1.02,4/1/1977,0,182.88,14,Vitor Belfort,"""The Phenom""",187.96,50,2.83,1.59,46,Southpaw,60,53,26
Light Heavyweight (84.0–93.0 kg),92.99,0.6,2.47,1/23/1975,1,190.5,12,Tito Ortiz,"""The Huntington Beach Bad Boy""",187.96,60,2.88,2.59,46,Orthodox,35,54,19
Featherweight (61.3–65.8 kg),61.23,0.6,1.01,10/8/1981,0,172.72,7,Francisco Rivera,"""Cisco""",177.8,68,3.16,4.07,41,Orthodox,63,68,11
Flyweight (≤56.7 kg),56.7,0.6,4.54,5/2/1993,0,160.02,2,Jarred Brooks,"""The Monkey God""",157.48,62,1.66,2.12,46,Switch,57,69,13
Featherweight (61.3–65.8 kg),65.77,0.6,1.18,11/30/1982,0,167.64,7,Diego Nunes,"""The Gun""",170.18,58,2.59,2.72,43,Orthodox,44,65,19
Flyweight (≤56.7 kg),56.7,0.6,1.41,7/31/1984,0,162.56,8,Joseph Benavidez,,165.1,61,2.67,3.52,34,Southpaw,30,62,28
Middleweight (77.2–83.9 kg),77.11,0.6,0.94,9/21/1994,0,185.42,2,Bryan Battle,"""The Butcher""",195.58,42,3.73,4.52,54,Orthodox,25,45,11
Featherweight (61.3–65.8 kg),65.77,0.6,1.18,7/24/1979,0,172.72,3,Mike Lullo,,,40,4.84,2.48,36,Orthodox,11,0,8
Welterweight (70.4–77.1 kg),70.31,0.6,3.19,10/10/1980,0,175.26,10,Doug Evans,,,55,2.55,1.79,35,Orthodox,83,69,13
Heavyweight (>=93.1 kg),117.03,0.6,1.19,9/8/1975,0,187.96,4,Chris Tuchscherer,"""The Crowbar""",193.04,47,3.17,1.35,31,Orthodox,18,0,21
Flyweight (≤56.7 kg),56.7,0.6,0.83,5/27/1990,0,165.1,3,Geane Herrera,"""The Revolutionary""",167.64,52,5.07,1.51,31,Orthodox,37,38,9
Featherweight (61.3–65.8 kg),61.23,0.6,1.16,1/15/1996,0,175.26,2,Nick Aguirre,"""Slick""",187.96,45,2.89,0.73,33,Southpaw,20,33,7
Light Heavyweight (84.0–93.0 kg),83.91,0.6,2.45,9/23/1982,0,182.88,17,Joe Riggs,"""Diesel""",177.8,57,1.69,2.41,51,Southpaw,55,62,44
